X,Y,K,U,Th,TC
9400,8300,16.97779,7.66028,5.86601,472.25287
9450,8300,6.38419,2.53641,2.9071,213.32619
9500,8300,-0.0045,0.49861,0.51641,40.96095
9550,8300,-2.65736,-0.88205,-0.55981,-35.17273
9600,8300,-2.99857,-0.93639,-0.59478,-48.26354
9650,8300,-1.4554,-1.25825,-0.07288,-29.79368
9700,8300,1.88091,-2.74477,0.51867,-1.00425
9750,8300,3.77151,-0.33257,0.44929,96.46005
9800,8300,6.72659,2.84685,1.17714,199.51596
9850,8300,9.14167,8.54141,3.01483,307.99789
9900,8300,9.39798,14.96391,5.2857,402.92344
6950,8250,46.68222,22.1686,17.7957,708.97527
7000,8250,48.02087,22.19588,18.96098,774.1267
7250,8250,46.69815,11.3994,17.16184,800.23752
7400,8250,25.39434,10.76044,13.70356,611.8248
7450,8250,22.55352,10.72783,13.05828,612.96796
7650,8250,43.23225,8.23046,15.44191,741.91492
7700,8250,35.27138,7.01349,13.94496,679.0549
7750,8250,27.90649,4.3013,11.59181,596.21313
7800,8250,22.86036,0.957,9.73174,526.07401
7850,8250,20.68063,-2.2458,9.01856,484.99534
7900,8250,15.93029,-1.29511,6.19002,401.97456
7950,8250,12.09703,-0.43291,3.74924,332.7346
8000,8250,8.57751,-0.11622,1.49095,263.42041
8050,8250,5.64414,-0.5007,-0.72389,194.00259
8100,8250,3.30332,-0.39548,-0.42823,205.7187
8150,8250,2.1179,-1.24983,-1.33649,200.3061
8200,8250,3.05665,-2.37697,-2.02398,188.017
8250,8250,5.63924,-3.24604,-1.96984,182.94541
8300,8250,4.06652,-1.63445,-2.53994,180.70294
8350,8250,3.38844,-0.14359,-2.05109,189.50559
8400,8250,4.1251,0.52257,-1.8144,199.91725
8450,8250,4.46181,0.83788,-1.95208,204.42629
8500,8250,1.86842,0.99942,-1.55967,192.93832
8550,8250,0.03058,-0.22584,-0.84167,186.26528
8600,8250,-0.24842,-1.38195,-0.29677,188.37675
8650,8250,0.82627,-1.80321,-0.05909,203.23321
8700,8250,1.88398,-0.24653,0.41633,236.07758
8750,8250,8.55342,2.75494,3.69016,347.40199
8800,8250,15.34925,5.84982,7.08981,477.94581
8850,8250,20.42722,8.21985,9.74347,595.07365
8900,8250,22.55354,11.72612,11.91806,660.97537
8950,8250,35.24258,13.80317,13.94559,785.78218
9350,8250,32.22069,15.71475,11.00797,808.70542
9400,8250,22.25857,8.46129,7.27944,527.94174
9450,8250,11.56775,2.54692,2.36244,243.78625
9500,8250,3.75586,-0.75097,-2.38588,35.92718
9550,8250,0.88756,-1.2733,-1.92355,-38.9295
9600,8250,0.92721,0.14811,-1.0167,-25.6977
9650,8250,2.8683,2.0281,-0.36657,37.50428
9700,8250,5.6385,3.48852,-0.20797,124.92495
9750,8250,6.92564,4.71004,0.36786,192.31612
9800,8250,8.87597,6.84419,1.92374,278.77256
9850,8250,10.31712,10.85098,3.94368,368.08965
9900,8250,10.37608,15.21023,5.38933,429.7644
6750,8200,28.75878,16.64679,9.23662,350.45037
6800,8200,27.34346,15.38282,8.8917,377.38925
6850,8200,27.83423,14.72205,9.6545,434.83506
6900,8200,31.8167,15.75582,12.57345,529.69503
6950,8200,36.37236,17.17664,15.98537,636.6513
7000,8200,38.42752,17.39949,17.7617,725.70705
7050,8200,39.46009,17.06662,18.2594,786.5965
7150,8200,41.37594,14.72984,17.56236,809.53165
7200,8200,41.84166,11.10282,16.94197,785.99211
7250,8200,43.23568,6.48667,16.58361,757.98035
7550,8200,30.52847,7.69011,12.38663,664.12622
7600,8200,35.01152,7.9903,12.99855,697.15368
7650,8200,36.46495,7.14949,12.80561,677.41293
7700,8200,28.85341,5.15207,10.2969,588.98982
7750,8200,22.63926,2.55833,7.24383,506.26571
7800,8200,19.14978,0.37125,4.28085,446.27037
7850,8200,16.92058,-0.50251,1.65877,398.94715
7900,8200,15.25638,-1.4641,2.67924,347.73493
7950,8200,10.71085,-1.51955,2.01135,284.15324
8000,8200,5.60773,-1.34337,0.93294,222.23292
8050,8200,1.84977,-1.15122,0.18936,179.78594
8100,8200,-0.0053,-0.49563,0.72344,191.01347
8150,8200,-0.18777,-0.91843,-1.02598,187.12019
8200,8200,1.21216,-1.55992,-2.34008,182.75171
8250,8200,2.75064,-1.797,-3.07981,181.21604
8300,8200,1.87165,-0.74618,-3.73513,178.9731
8350,8200,0.90249,0.45995,-2.57598,187.3217
8400,8200,0.72203,0.90876,-1.73563,192.91945
8450,8200,0.27347,0.81337,-1.37929,192.32124
