X,Y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
4700,5550,0.0361,0.0384,0.0507,0.0568,0.0821,0.1433,0.1727,0.1736,0.2066,0.0487,0.0106,0.2306,0.1449
4750,5550,0.0387,0.0455,0.0568,0.0662,0.086,0.1337,0.1582,0.1569,0.1891,0.048,0.0106,0.243,0.166
4800,5550,0.0405,0.0475,0.0567,0.0692,0.0838,0.1174,0.1381,0.1376,0.1668,0.0453,0.0106,0.2562,0.186
4850,5550,0.0401,0.0442,0.0535,0.0663,0.0822,0.1166,0.1384,0.139,0.1694,0.0443,0.0106,0.2595,0.1842
4900,5550,0.0391,0.0427,0.0534,0.064,0.0837,0.1285,0.1538,0.1544,0.1862,0.0458,0.0107,0.2518,0.1696
4950,5550,0.0388,0.0425,0.0546,0.0635,0.0863,0.1388,0.1659,0.1669,0.1994,0.0482,0.0107,0.2402,0.1538
5000,5550,0.0399,0.0449,0.0558,0.0673,0.0859,0.1265,0.1498,0.1494,0.1804,0.0476,0.0108,0.2378,0.156
5050,5550,0.0402,0.0433,0.054,0.0657,0.0839,0.1214,0.1439,0.1442,0.1736,0.0456,0.0108,0.2272,0.1465
5100,5550,0.0409,0.0439,0.0538,0.0666,0.0834,0.1182,0.1393,0.1393,0.1682,0.044,0.0108,0.2313,0.1545
5150,5550,0.0431,0.0521,0.0631,0.0777,0.0938,0.13,0.1522,0.153,0.1814,0.0438,0.0108,0.2462,0.1689
5200,5550,0.0445,0.0548,0.0656,0.0798,0.095,0.1345,0.1574,0.1566,0.1866,0.0449,0.0109,0.2557,0.1816
5250,5550,0.0414,0.0454,0.0561,0.0669,0.0851,0.1344,0.1602,0.16,0.1897,0.0452,0.0109,0.2485,0.1737
5300,5550,0.0362,0.0378,0.0448,0.0566,0.0685,0.0972,0.1165,0.1174,0.1432,0.0405,0.0108,0.2493,0.1893
5350,5550,0.0353,0.0387,0.0459,0.058,0.0706,0.0986,0.1178,0.1183,0.1442,0.0392,0.0108,0.2451,0.1821
5400,5550,0.0381,0.0482,0.0592,0.072,0.0887,0.1272,0.1497,0.1491,0.1779,0.0419,0.0108,0.2376,0.1633
5450,5550,0.0397,0.044,0.0545,0.0662,0.0837,0.1219,0.1434,0.1432,0.1727,0.0442,0.0108,0.2269,0.1509
5500,5550,0.0371,0.0369,0.0462,0.0576,0.0754,0.1123,0.1344,0.136,0.1653,0.0444,0.0108,0.2249,0.1461
5550,5550,0.0338,0.0338,0.0424,0.0533,0.0717,0.1095,0.1321,0.1339,0.1642,0.044,0.0108,0.23,0.1487
5600,5550,0.0331,0.0354,0.0444,0.0544,0.0737,0.1148,0.1387,0.1397,0.1702,0.0442,0.0108,0.2341,0.1522
5650,5550,0.0349,0.0381,0.0471,0.0581,0.0758,0.1156,0.1393,0.14,0.1703,0.0442,0.0108,0.2475,0.1685
5700,5550,0.0372,0.0426,0.0523,0.0645,0.0808,0.1196,0.1431,0.1437,0.1735,0.0441,0.0108,0.2535,0.1785
5750,5550,0.0386,0.0417,0.0515,0.0638,0.0809,0.1198,0.1434,0.1429,0.1737,0.0446,0.0108,0.2508,0.1745
